Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
Trick Or Treat,Text,,Trick Or Treat,트릭 오어 트릿,トリック・オア・トリート,Süßes oder Saures,Truco o trato,Gostosura ou travessura,Cho kẹo hay bị ghẹo,Кошелёк или жизнь,Trik atau Traktiran,หลอกหรือเลี้ยง,Des bonbons ou un sort,خدعة أم حلوى,ट्रिक ऑर ट्रीट,Şeker mi Şaka mı
Trickster Treat,Text,,Trickster Treat,트릭스터 트릿,トリックスター・トリート,Trickster-Leckerei,Dulce del embaucador,Doce do Trapaceiro,Kẹo Trickster,Лакомство обманщика,Perlakuan Penipu,ขนมหลอกล่อ,Friandise du farceur,حلوى المخادع,छलिया मिठाई,Hınzır Şeker
Try Again,Text,,Try Again,다시 시도,再試行,Erneut versuchen,Intentar de nuevo,Tentar novamente,Thử lại,Попробовать снова,Coba Lagi,ลองใหม่,Réessayer,حاول مرة أخرى,फिर से कोशिश करें,Tekrar Dene
Tteokbokki,Text,,Tteokbokki,떡볶이,トッポッキ,Tteokbokki,Tteokbokki,Tteokbokki,Tokbokki,Ттокпокки,Tteokbokki,ต๊อกบกกี,Tteokbokki,توكبوكي,떡볶ी,Tteokbokki
Unbelievable!,Text,,Unbelievable!,믿을 수 없어!,信じられない！,Unglaublich!,¡Increíble!,Inacreditável!,Không thể tin nổi!,Невероятно!,Tak terbayangkan!,เหลือเชื่อ!,Incroyable !,لا يُصدق!,अविश्वसनीय!,İnanılmaz!
Unlimited life in:,Text,,Unlimited life in:,무제한 라이프까지:,無制限ライフまで：,Unbegrenzte Leben in:,Vidas ilimitadas en:,Vidas ilimitadas em:,Mạng vô hạn sau:,Бесконечные жизни через:,Nyawa tanpa batas dalam:,ชีวิตไม่จำกัดใน:,Vies illimitées dans :,أرواح غير محدودة خلال:,अनलिमिटेड लाइफ में:,Sınırsız can süresi:
Unlock,Text,,Unlock,잠금 해제,アンロック,Freischalten,Desbloquear,Desbloquear,Mở khóa,Разблокировать,Buka Kunci,ปลดล็อก,Déverrouiller,فتح القفل,अनलॉक,Kilidi Aç
Unlock a locked tray,Text,,Unlock a locked tray,잠긴 트레이 잠금 해제,ロックされたトレイを解除,Gesperrtes Tablett entsperren,Desbloquea una bandeja bloqueada,Desbloqueie uma bandeja trancada,Mở khay bị khóa,Открыть заблокированный лоток,Buka kunci nampan terkunci,ปลดล็อกถาดที่ล็อก,Déverrouiller un plateau verrouillé,افتح صينية مقفلة,लॉक ट्रे अनलॉक करें,Kilitli bir tepsiyi aç
Unlock at level,Text,,Unlock at level {[value]},레벨 {[value]}에서 잠금 해제,レベル{[value]}でアンロック,Schalte auf Level {[value]} frei,Desbloquea en el nivel {[value]},Desbloqueia no nível {[value]},Mở khóa ở màn {[value]},Открывается на уровне {[value]},Buka di level {[value]},ปลดล็อกที่ด่าน {[value]},Débloqué au niveau {[value]},يُفتح عند المستوى {[value]},स्तर {[value]} पर अनलॉक करें,{[value]} seviyesinde açılır
Unlock at level:,Text,,Unlock at level: {[VALUE]},{[VALUE]} 레벨에서 잠금 해제,レベル {[VALUE]} でアンロック,Freischalten bei Stufe {[VALUE]},Desbloquear en el nivel {[VALUE]},Desbloquear no nível {[VALUE]},Mở ở màn: {[VALUE]},Открывается на уровне: {[VALUE]},Terbuka di level: {[VALUE]},ปลดล็อกที่ด่าน: {[VALUE]},Débloqué au niveau : {[VALUE]},يفتح عند المستوى: {[VALUE]},लेवल {[VALUE]} पर अनलॉक,{[VALUE]} seviyesinde aç
Unlock the Preboosters first to use them!,Text,,Unlock the Preboosters first to use them!,프리부스터를 먼저 잠금 해제해야 사용 가능합니다!,"プレブースターを先にアンロックして使用しましょう！
","Schalte zuerst die Vorbooster frei, um sie zu verwenden!",¡Desbloquea los pre-impulsores primero para usarlos!,Desbloqueie os pré-impulsionadores primeiro para usá-los!,Mở khóa tăng sức mạnh trước khi dùng!,"Сначала разблокируйте предбустеры, чтобы использовать их!",Buka Pra‑Booster dulu untuk memakainya!,ปลดล็อกพรีบูสเตอร์ก่อนจึงจะใช้ได้!,Déverrouille d’abord les pré‑boosters pour les utiliser !,افتح المعززات المسبقة أولًا لتتمكن من استخدامها!,उन्हें इस्तेमाल करने के लिए पहले प्री‑बूस्टर्स अनलॉक करें!,Kullanmak için önce Ön Güçlendiricilerin kilidini aç!
Unlock the previous offer first!,Text,,Unlock the previous offer first!,이전 제안을 먼저 잠금 해제하세요!,前のオファーを先にアンロックしてください！,Schalte zuerst das vorherige Angebot frei!,¡Desbloquea la oferta anterior primero!,Desbloqueie a oferta anterior primeiro!,Mở ưu đãi trước đó trước!,Сначала разблокируйте предыдущее предложение!,Buka penawaran sebelumnya dulu!,ปลดล็อกข้อเสนอที่แล้วก่อน!,Déverrouille d’abord l’offre précédente !,افتح العرض السابق أولًا!,पहले पिछला ऑफ़र अनलॉक करें!,Önceki teklifin kilidini aç!
Update,Text,,Update,업데이트,アップデート,Aktualisieren,Actualizar,Atualizar,Cập nhật,Обновить,Perbarui,อัปเดต,Mettre à jour,تحديث,अपडेट,Güncelle
Update Now,Text,,Update Now,지금 업데이트,今すぐ更新,Jetzt aktualisieren,Actualizar ahora,Atualizar agora,Cập nhật ngay,Обновить сейчас,Perbarui sekarang,อัปเดตตอนนี้,Mettre à jour maintenant,حدِّث الآن,अभी अपडेट करें,Şimdi Güncelle
Update Now!,Text,,Update Now!,지금 업데이트!,今すぐ更新!,Jetzt aktualisieren!,Actualizar ahora!,Atualizar agora!,Cập nhật ngay!,Обновить сейчас!,Perbarui sekarang!,อัปเดตตอนนี้!,Mettre à jour maintenant!,حدِّث الآن,अभी अपडेट करें!,Şimdi Güncelle!
Upgrade Chances,Text,,Upgrade Chances,업그레이드 확률,アップグレードのチャンス,Verbesserungsmöglichkeiten,Oportunidades de mejora,Chances de Upgrade,Cơ hội Nâng Cấp,Шансы на улучшение,Peluang Peningkatan,โอกาสอัปเกรด,Chances d’amélioration,فرص الترقية,उन्नयन के अवसर,Yükseltme Şansı
Use Booster,Text,,Use Booster,부스터 사용,パワーアップ使用,Power-Up nutzen,Usa Power-Up,Usar Power-Up,Dùng Booster,Используй усиление,Gunakan Power-Up,ใช้พาวเวอร์อัป,Utilise Power-Up,استخدم التعزيز,पावर-अप उपयोग,Güçlendirici Kullan
Use magnet,Text,,Use magnet,자석 사용,マグネットを使用,Magnet benutzen,Usar imán,Usar ímã,Dùng nam châm,Использовать магнит,Gunakan magnet,ใช้แม่เหล็ก,Utiliser l’aimant,استخدم المغناطيس,मैग्नेट उपयोग करें,Mıknatıs Kullan
Use your extra stars to open chest,Text,,Use your extra stars to open chest,추가 별을 사용하여 상자를 여세요,余分なスターで宝箱を開けよう,"Verwende deine extra Sterne, um die Truhe zu öffnen",Usa tus estrellas extra para abrir el cofre,Use suas estrelas extras para abrir o baú,Dùng sao dư để mở rương,"Используй лишние звезды, чтобы открыть сундук",Gunakan bintang ekstra untuk membuka peti,ใช้ดาวพิเศษเพื่อเปิดหีบ,Utilise tes étoiles bonus pour ouvrir le coffre,استخدم نجومك الإضافية لفتح الصندوق,अतिरिक्त सितारों का उपयोग करके चेस्ट खोलो,Fazladan yıldızlarını kullanarak sandığı aç
Utensils,Text,,Utensils,조리 도구,調理器具,Utensilien,Utensilios,Utensílios,Dụng cụ nấu ăn,Посуда,Peralatan dapur,อุปกรณ์ครัว,Ustensiles,أدوات المطبخ,बर्तन,Mutfak Gereçleri
Value-Available,Text,,{[VALUE]} Available,{[VALUE]}개 사용 가능,{[VALUE]} 利用可能,{[VALUE]} verfügbar,{[VALUE]} disponible,{[VALUE]} disponível,Có {[VALUE]},Доступно: {[VALUE]},{[VALUE]} tersedia,ใช้ได้ {[VALUE]},{[VALUE]} disponible,{[VALUE]} متاح,{[VALUE]} उपलब्ध,{[VALUE]} mevcut
Vegetarian & Healthy,Text,,Vegetarian & Healthy,채식 & 건강,ベジタリアン＆ヘルシー,Vegetarisch & Gesund,Vegetariano y saludable,Vegetariano & saudável,Ăn chay & lành mạnh,Вегетарианское и здоровое,Vegetarian & Sehat,มังสวิรัติ & สุขภาพ,Végétarien & Santé,نباتي وصحي,शाकाहारी और स्वास्थ्य,Vejetaryen ve Sağlıklı
Veggie Hunt,Text,,Veggie Hunt,채소 사냥,ベジハント,Gemüsejagd,Caza de verduras,Caça aos Vegetais,Săn Rau Củ,Охота за овощами,Berburu Sayur,ล่าผัก,Chasse aux légumes,صيد الخضروات,सब्ज़ी खोज,Sebze Avı
Veggie Wrap,Text,,Veggie Wrap,베지랩,ベジラップ,Gemüsewrap,Wrap de vegetales,Wrap de legumes,Bánh cuốn rau củ,Овощной ролл,Gulungan sayur,แรปผัก,Wrap de légumes,لفافة خضار,वेज रैप,Sebze Dürümü
Vending Tray,Text,,Vending Tray,자판기 쟁반,販売トレイ,Verkaufsfach,Bandeja de venta,Bandeja de venda,Khay tự động,Торговый лоток,Nampan Vending,ถาดจำหน่ายอัตโนมัติ,Plateau distributeur,صينية آلة البيع,वेंडिंग ट्रे,Otomat Tepsisi
Vibration,Text,,Vibration,진동,振動,Vibration,Vibración,Vibração,Rung,Вибрация,Getar,การสั่น,Vibration,الاهتزاز,वाइब्रेशन,Titreşim
Video Bar,Text,,Video Bar,비디오 바,ビデオバー,Videoleiste,Barra de video,Barra de vídeo,Thanh video,Видео-панель,Bilah video,แถบวิดีโอ,Barre vidéo,شريط الفيديو,वीडियो बार,Video Çubuğu
View,Text,,View,보기,表示,Anzeigen,Ver,Ver,Xem,Просмотр,Lihat,ดู,Voir,عرض,देखें,Görüntüle
Waffle,Text,,Waffle,와플,ワッフル,Waffel,Gofre,Waffle,Bánh waffle,Вафля,Wafel,วาฟเฟิล,Gaufre,وافل,वफ़ल,Waffle
Waffle Iron,Text,,Waffle Iron,와플 기계,ワッフルメーカー,Waffeleisen,Gofrera,Máquina de waffle,Máy nướng waffle,Вафельница,Alat pembuat wafel,เครื่องทำวาฟเฟิล,Gaufrier,جهاز الوافل,वफ़ल मेकर,Waffle Makinesi
Watch,Text,,Watch,보기,見る,Ansehen,Ver ver,Assistir,Xem,Смотреть,Tonton,ดู,Regarder,شاهد,देखें,İzle
Watch Video,Text,,Watch Video,비디오 보기,動画を見る,Video ansehen,Ver video,Assistir ao vídeo,Xem video,Смотреть видео,Tonton video,ดูวิดีโอ,Regarder la vidéo,شاهد الفيديو,वीडियो देखें,Video İzle
Watch ad,Text,,Watch ad,광고 보기,広告を見る,Werbung ansehen,Ver anuncio,Assistir ao anúncio,Xem quảng cáo,Смотреть рекламу,Tonton iklan,ดูโฆษณา,Regarder la pub,شاهد الإعلان,विज्ञापन देखें,Reklam İzle
Watch videos,Text,,Watch videos,비디오 시청,動画を見る,Videos ansehen,Ver videos,Assistir a vídeos,Xem video,Смотреть видео,Tonton video,ดูวิดีโอ,Regarder des vidéos,شاهد الفيديوهات,वीडियो देखें,Videoları İzle
Watch videos to fill the bar and earn awesome rewards!,Text,,Watch videos to <color=#FFD200>fill the bar</color> and earn awesome rewards!,비디오를 시청하여 <color=#FFD200>바를 채우고</color> 멋진 보상을 받으세요!,動画を見て<color=#FFD200>バーを満たして</color>素晴らしい報酬を手に入れよう！,"Schau Videos, um <color=#FFD200>die Leiste zu füllen</color> und tolle Belohnungen zu verdienen!",¡Mira videos para <color=#FFD200>llenar la barra</color> y ganar increíbles recompensas!,Assista a vídeos para <color=#FFD200>encher a barra</color> e ganhar recompensas incríveis!,Xem video để <color=#FFD200>làm đầy thanh</color> và nhận phần thưởng hấp dẫn!,"Смотри видео, чтобы <color=#FFD200>заполнить шкалу</color> и получить классные награды!",Tonton video untuk <color=#FFD200>mengisi bilah</color> dan dapatkan hadiah keren!,ดูวิดีโอเพื่อ<color=#FFD200>เติมแถบ</color>และรับรางวัลสุดเจ๋ง!,Regarde des vidéos pour <color=#FFD200>remplir la barre</color> et gagner de super récompenses !,شاهد الفيديوهات لـ<color=#FFD200>ملء الشريط</color> والحصول على مكافآت رائعة!,वीडियो देखें ताकि <color=#FFD200>बार भरें</color> और शानदार इनाम पाएं!,"Videoları izle, <color=#FFD200>çubuğu doldur ve harika ödüller kazan!"
Water Set,Text,,Water Set,워터 세트,ウォーターセット,Wasserset,Set de agua,Conjunto de água,Bộ nước,Водный набор,Set air,ชุดน้ำ,Set d'eau,مجموعة مياه,पानी का सेट,Su Seti
Watermelon,Text,,Watermelon,수박,スイカ,Wassermelone,Sandía,Melancia,Dưa hấu,Арбуз,Semangka,แตงโม,Pastèque,بطيخ,तरबूज,Karpuz
We ve increased the Energy you get per level! Here s a gift for the progress you ve made so far,Text,,We’ve increased the Energy you get per level! Here’s a gift for the progress you’ve made so far,"레벨당 획득하는 에너지가 늘어났어요!
지금까지의 진행을 기념해 선물을 드립니다","レベルごとに獲得できるエネルギーが増えました！
ここまでの進行に感謝してプレゼントです","Wir haben die Energie pro Level erhöht!
Hier ist ein Geschenk für deinen bisherigen Fortschritt","¡Hemos aumentado la Energía que obtienes por nivel!
Aquí tienes un regalo por el progreso que has logrado","Aumentamos a Energia que você ganha por nível!
Aqui está um presente pelo progresso que você fez até agora","Chúng tôi đã tăng Năng lượng bạn nhận được mỗi cấp!
Đây là món quà dành cho tiến trình bạn đã đạt được","Мы увеличили количество Энергии за уровень!
Вот подарок за твой прогресс до сих пор","Kami telah menambah Energi yang kamu dapatkan setiap level!
Ini hadiah untuk progres yang sudah kamu capai","เราได้เพิ่มพลังงานที่คุณได้รับต่อเลเวลแล้ว!
นี่คือของขวัญสำหรับความก้าวหน้าที่คุณทำมา","Nous avons augmenté l’Énergie que tu gagnes par niveau !
Voici un cadeau pour tes progrès jusqu’ici",,"हमने प्रत्येक स्तर पर मिलने वाली ऊर्जा बढ़ा दी है!
अब तक की प्रगति के लिए यह उपहार है",Her seviyede kazandığın enerjiyi artırdık! İşte şimdiye kadar ki ilerlemen için bir hediye
Weekend,Text,,Weekend,주말,週末,Wochenende,Fin de semana,Final de semana,Cuối tuần,Выходные,Akhir Pekan,สุดสัปดาห์,Week‑end,نهاية الأسبوع,सप्ताहांत,Hafta Sonu
Weekend Deal,Text,,Weekend Deal,주말 특가,週末セール,Wochenendangebot,Oferta de fin de semana,Oferta de fim de semana,Ưu đãi cuối tuần,Выходная акция,Penawaran Akhir Pekan,ดีลสุดสัปดาห์,Offre du week‑end,عرض نهاية الأسبوع,वीकेंड डील,Hafta Sonu Fırsatı
Weekly,Text,,Weekly,주간,毎週,Wöchentlich,Semanal,Semanal,Hàng tuần,Еженедельно,Mingguan,รายสัปดาห์,Hebdomadaire,أسبوعي,साप्ताहिक,Haftalık
Weekly Contest,Text,,Weekly Contest,주간 대회,週刊コンテスト,Wöchentlicher Wettbewerb,Concurso semanal,Concurso semanal,Cuộc thi hàng tuần,Еженедельный конкурс,Kontes mingguan,การประกวดประจำสัปดาห์,Concours hebdomadaire,مسابقة أسبوعية,साप्ताहिक प्रतियोगिता,Haftalık Yarışma
When you join a team you will get,Text,,When you join a team you will get,팀에 가입하면 받을 수 있습니다,チームに参加すると獲得できます,"Wenn du einem Team beitrittst, erhältst du",Cuando te unas a un equipo recibirás,Ao entrar em um time você receberá,Khi tham gia đội bạn sẽ nhận được,При вступлении в команду вы получите,"Saat bergabung tim, kamu akan mendapat",เมื่อเข้าร่วมทีมคุณจะได้รับ,"En rejoignant une équipe, vous obtiendrez",عند انضمامك لفريق ستحصل على,जब आप टीम से जुड़ेंगे तो आपको मिलेगा,Bir takıma katıldığında alacakların
Win,Text,,Win {[VALUE]},승리 {[VALUE]},勝利 {[VALUE]},Sieg {[VALUE]},Victoria {[VALUE]},Vitória {[VALUE]},Thắng {[VALUE]},Выиграй {[VALUE]},Menang {[VALUE]},ชนะ {[VALUE]},Gagne {[VALUE]},اربح {[VALUE]},जीतो {[VALUE]},{[VALUE]} kazan
Win 5 level to open Level Chest and claim rewards!,Text,,Win 5 level to open <color=#F9D23B>Level Chest</color> and claim rewards!,레벨 5개 클리어하고 <color=#F9D23B>레벨 상자</color>를 열어 보상을 받자!,5レベル勝利で<color=#F9D23B>レベルチェスト</color>を開けて報酬を受け取ろう！,Gewinne 5 Level und öffne die <color=#F9D23B>Level‑Truhe</color> für Belohnungen!,¡Gana 5 niveles para abrir el <color=#F9D23B>Cofre de Nivel</color> y reclamar recompensas!,Vença 5 níveis para abrir o <color=#F9D23B>Baú de Nível</color> e coletar recompensas!,Thắng 5 màn để mở <color=#F9D23B>Rương Level</color> và nhận thưởng!,"Выиграйте 5 уровней, чтобы открыть <color=#F9D23B>Сундук уровня</color> и забрать награды!",Menang 5 level untuk membuka <color=#F9D23B>Peti Level</color> dan klaim hadiah!,ชนะ 5 ด่านเพื่อเปิด <color=#F9D23B>หีบด่าน</color> และรับรางวัล!,Gagne 5 niveaux pour ouvrir le <color=#F9D23B>Coffre de niveau</color> et obtenir des récompenses !,اربح 5 مستويات لفتح <color=#F9D23B>صندوق المستوى</color> والحصول على المكافآت!,5 लेवल जीतें ताकि <color=#F9D23B>लेवल चेस्ट</color> खुले और इनाम मिलें!,<color=#F9D23B>Seviye Sandığını açmak ve ödülleri almak için 5 seviye kazan!
Win 5 level to open Star Chest and claim rewards!,Text,,Win 5 level to open <color=#F9D23B>Star Chest</color> and claim rewards!,5레벨을 완료해 <color=#F9D23B>별 상자</color>를 열고 보상을 받으세요!,5レベルをクリアして<color=#F9D23B>スター チェスト</color>を開け、報酬を手に入れよう！,"Gewinne 5 Level, um die <color=#F9D23B>Sternentruhe</color> zu öffnen und Belohnungen zu erhalten!",¡Gana 5 niveles para abrir el <color=#F9D23B>Cofre Estrella</color> y reclamar recompensas!,Ganhe 5 níveis para abrir o <color=#F9D23B>Baú Estelar</color> e receber recompensas!,Thắng 5 màn để mở <color=#F9D23B>Rương Sao</color> và nhận thưởng!,"Выиграйте 5 уровней, чтобы открыть <color=#F9D23B>Сундук звёзд</color> и забрать награды!",Menang 5 level untuk membuka <color=#F9D23B>Peti Bintang</color> dan klaim hadiah!,ชนะ 5 ด่านเพื่อเปิด <color=#F9D23B>หีบดาว</color> และรับรางวัล!,Gagne 5 niveaux pour ouvrir le <color=#F9D23B>Coffre étoilé</color> et récupérer des récompenses !,اربح 5 مستويات لفتح <color=#F9D23B>صندوق النجوم</color> والحصول على المكافآت!,5 लेवल जीतें ताकि <color=#F9D23B>स्टार चेस्ट</color> खुले और रिवॉर्ड मिलें!,<color=#F9D23B>Yıldız Sandığını açmak ve ödülleri almak için 5 seviye kazan!
Win Level to unlock amazing stories waiting ahead,Text,,Complete Level {[value]} to unlock amazing stories waiting ahead,{[value]}레벨을 완료하고 놀라운 이야기를 열어보세요!,レベル{[value]}をクリアして、待っている素敵な物語を解放しよう！,"Schließe Level {[value]} ab, um spannende Geschichten freizuschalten!",¡Completa el nivel {[value]} para desbloquear increíbles historias que te esperan!,Complete o nível {[value]} para desbloquear histórias incríveis à frente!,Hoàn thành cấp độ {[value]} để mở khóa những câu chuyện hấp dẫn phía trước!,"Заверши уровень {[value]}, чтобы открыть удивительные истории впереди!",Selesaikan level {[value]} untuk membuka kisah seru di depan!,ผ่านด่าน {[value]} เพื่อปลดล็อกเรื่องราวสุดมหัศจรรย์ที่รออยู่!,Termine le niveau {[value]} pour débloquer des histoires incroyables à venir !,أكمل المستوى {[value]} لفتح القصص الرائعة التي تنتظرك!,स्तर {[value]} पूरा करें ताकि आगे की रोमांचक कहानियाँ अनलॉक हों!,{[value]} seviyesini tamamla ve seni bekleyen harika hikayelerin kilidini aç!
Win Levels,Text,,Win Levels,레벨 승리,レベルクリア,Level gewinnen,Gana niveles,Vença fases,Thắng màn,Побеждай уровни,Menangkan level,ชนะด่าน,Gagne des niveaux,اربح المراحل,स्तर जीतें,Seviyeleri Kazan
Win Rewards!,Text,,Win Rewards!,보상을 획득하세요!,報酬を獲得！,Gewinne Belohnungen!,¡Gana recompensas!,Ganhe recompensas!,Nhận phần thưởng!,Выиграй награды!,Menangkan hadiah!,รับรางวัล!,Gagnez des récompenses !,اربح المكافآت!,इनाम जीतें!,Ödüller Kazan!
Win great prizes!,Text,,Win great prizes!,멋진 보상을 받으세요!,豪華な報酬をゲットしよう！,Gewinne tolle Preise!,¡Gana premios increíbles!,Ganhe prêmios incríveis!,Nhận quà giá trị!,Выигрывай отличные призы!,Menangkan hadiah besar!,ลุ้นรางวัลสุดคุ้ม!,Gagne de super lots !,اربح جوائز رائعة!,शानदार इनाम जीतें!,Harika ödüller kazan!
Win level X to unlock,Text,,Win level {[value]} to unlock,{[value]} 레벨을 완료하여 잠금 해제,レベル{[value]}をクリアしてアンロック,"Gewinne Level {[value]}, um freizuschalten",Gana el nivel {[value]} para desbloquear,Vença o nível {[value]} para desbloquear,Thắng level {[value]} để mở khóa,"Выиграй уровень {[value]}, чтобы разблокировать",Menangkan level {[value]} untuk membuka kunci,ชนะด่าน {[value]} เพื่อปลดล็อก,Gagne le niveau {[value]} pour débloquer,اربح المستوى {[value]} لفتحه,स्तर {[value]} जीतें अनलॉक करने के लिए,"Seviye {[value]} kazanın, kilidi açmak için"
Win level on your first try to earn a pinata filled with surprise rewards!,Text,,Win level on your first try to earn a pinata filled with surprise rewards!,첫 도전에서 레벨을 완료하여 놀라운 보상이 가득한 피냐타를 받으세요!,最初の挑戦でレベルをクリアして、サプライズ報酬が詰まったピニャータを手に入れよう！,Gewinne das Level beim ersten Versuch und erhalte eine Piñata voller Überraschungsbelohnungen!,¡Gana el nivel en tu primer intento para obtener una piñata llena de recompensas sorpresa!,Vença o nível na sua primeira tentativa para ganhar uma piñata cheia de recompensas surpresa!,Thắng màn ngay lần chơi đầu để nhận pinata chứa đầy phần thưởng bất ngờ!,"Победи уровень с первой попытки и получи пиньяту, полную сюрпризов!",Menangkan level pada percobaan pertama untuk mendapatkan piñata berisi hadiah kejutan!,ชนะด่านตั้งแต่ครั้งแรกเพื่อรับปีญาตาที่เต็มไปด้วยของรางวัลสุดเซอร์ไพรส์!,Gagne le niveau dès ta première tentative pour recevoir une piñata remplie de récompenses surprises !,اربح المستوى من المحاولة الأولى لتحصل على بينياتا مليئة بالمكافآت المفاجئة!,पहले प्रयास में स्तर जीतें और सरप्राइज़ इनामों से भरी पिनाटा पाएं!,İlk denemende seviyeyi kazan ve sürpriz ödüllerle dolu bir pinata kazan!
Win levels without losing a life and gain extra time each level! Keep your winstreak!,Text,,Win levels without losing a life and gain extra time each level! Keep your winstreak!,목숨을 잃지 않고 레벨을 클리어하고 각 레벨마다 추가 시간을 얻으세요! 연승을 이어가세요!,ライフを失わずにステージをクリアして各レベルで追加時間を獲得！連勝を続けましょう！,"Gewinne Level, ohne ein Leben zu verlieren, und gewinne mit jedem Level zusätzliche Zeit! Behalte deine Siegesserie!",¡Gana niveles sin perder una vida y gana tiempo extra en cada nivel! ¡Mantén tu racha de victorias!,Vença níveis sem perder uma vida e ganhe tempo extra a cada nível! Mantenha sua sequência de vitórias!,Thắng liên tiếp không mất mạng để nhận thêm thời gian mỗi màn! Hãy giữ chuỗi thắng của bạn!,"Побеждайте в уровнях, не теряя жизнь, и получайте дополнительное время на каждом уровне! Поддерживайте серию побед!",Menang tanpa kehilangan nyawa dan dapatkan waktu ekstra di tiap level! Jaga win‑streak‑mu!,ชนะด่านโดยไม่เสียชีวิตและรับเวลาเพิ่มทุกด่าน! รักษาสถิติชนะต่อเนื่องไว้!,Gagne des niveaux sans perdre de vie et obtiens du temps en plus à chaque niveau ! Garde ta série de victoires !,افز بالمراحل دون خسارة حياة لتحصل على وقت إضافي في كل مرحلة! حافظ على سلسلة انتصاراتك!,बिना लाइफ गंवाए लेवल जीतें और हर लेवल पर अतिरिक्त समय पाएं! अपनी विन‑स्ट्रिक बनाए रखें!,Can kaybetmeden seviyeleri kazan ve her seviyede ekstra süre elde et! Kazanma serini koru!
Win streak,Text,,Win streak,연승,連勝,Siegesserie,Racha de victorias,Sequência de vitórias,Chuỗi thắng,Серия побед,Rangkaian Menang,ชนะต่อเนื่อง,Série de victoires,سلسلة انتصارات,जीत की लड़ी,Kazanma Serisi
Win your share of 5000 coins,Text,,Win your share of 5000 coins,5000코인의 보상을 나누어 받으세요,5000コインの報酬を分け合おう！,Gewinne deinen Anteil von 5000 Münzen,¡Gana tu parte de 5000 monedas!,Ganhe sua parte de 5000 moedas,Nhận phần của bạn trong 5000 xu,Выиграй свою долю из 5000 монет,Menangkan bagianmu dari 5000 koin,รับส่วนแบ่งของคุณจาก 5000 เหรียญ,Gagne ta part des 5000 pièces,اربح حصتك من 5000 عملة,5000 सिक्कों में से अपना हिस्सा जीतें,5000 jetondan payını kazan
Wine Bucket,Text,,Wine Bucket,와인 버킷,ワインバケツ,Weinkübel,Cubo de vino,Balde de vinho,Xô rượu vang,Ведро для вина,Ember anggur,ถังไวน์,Seau à vin,دلو نبيذ,वाइन की बाल्टी,Şarap Kovası
Winstreak,Text,,Winstreak,연승,連勝,Siegesserie,Racha de victorias,Sequência de vitórias,Chuỗi thắng,Серия побед,Rangkaian kemenangan,ชนะต่อเนื่อง,Série de victoires,سلسلة انتصارات,जीत की लड़ी,Kazanma Serisi
Wonderful!,Text,,Wonderful!,멋져!,ワンダフル！,Wundervoll!,¡Maravilloso!,Maravilhoso!,Tuyệt hảo!,Замечательно!,Luar biasa!,วิเศษมาก!,Merveilleux !,رائع جداً!,शानदार!,Muhteşem!
World,Text,,World,월드,ワールド,Welt,Mundo,Mundo,Thế giới,Мир,Dunia,โลก,Monde,العالم,विश्व,Dünya
Wow!,Text,,Wow!,와우!,わお！,Wow!,¡Guau!,Uau!,Wow!,Вау!,Wow!,ว้าว!,Waouh !,واو!,वाह!,Vay!
X2 Boost,Text,,X2 Boost,2배 부스트,2倍ブースト,2x-Boost,Impulso x2,Impulso X2,Tăng X2,Х2 усиление,Peningkat X2,บูสต์ x2,Bonus x2,تعزيز ×2,2x बूस्ट,2 Kat Güçlendirme
XL Rewards,Text,,XL Rewards,초대형 보상,超特大リワード,XL-Belohnungen,Recompensas XL,Recompensas XL,Phần thưởng Cực Lớn,XL награды,Hadiah XL,รางวัล XL,Récompenses XL,مكافآت XL,XL इनाम,XL Ödüller
Xmas Pass,Text,,Xmas Pass,크리스마스 패스,クリスマスパス,Weihnachts-Pass,Pase de Navidad,Passe de Natal,Thẻ Xmas,Рождественский пропуск,Xmas Pass,พาสคริสต์มาส,Pass de Noël,تصريح عيد الميلاد,क्रिसमस पास,Noel Bileti
Yellow outline,Material,,1FTV-VIP-Lilita-One Yellow Outline Shadow,KO_JALNANGOTHICTTF SDF Yellow Outline,JP_FUTEHODO-MARUGOTHIC SDF Yellow Outline,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow,1FTV-VIP-Lilita-One Yellow Outline Shadow
Yes,Text,,Yes,예,はい,Ja,Sí,Sim,Có,Да,Ya,ใช่,Oui,نعم,हाँ,Evet
You,Text,,You,당신,あなた,Du,Tú,Você,Bạn,Ты,Kamu,คุณ,Tu,أنت,आप,Sen
You Get,Text,,You Get,획득함,あなたの獲得,Du erhältst,Tú recibes,Você Recebe,Bạn nhận,Вы получаете,Anda Mendapatkan,คุณได้รับ,Vous Recevez,أنت تحصل على,आपको मिलता है,Sen Alırsın
